VEHICLE_ID,YEAR,MAKE,MODEL,TOTAL_COUNT,KEEP
4044358,2011,NISSAN,ROGUE,2138,True
4044361,2013,NISSAN,ROGUE,2138,True
4044377,2012,NISSAN,ROGUE,2138,True
7266697,2010,NISSAN,ROGUE,2138,True
7266698,2011,NISSAN,ROGUE,2138,True
7266699,2012,NISSAN,ROGUE,2138,True
7266700,2013,NISSAN,ROGUE,2138,True
7266703,2010,NISSAN,ROGUE,2138,True
6000935,2010,HONDA,ACCORD EX,1827,True
6000939,2016,HONDA,ACCORD EX,1827,True
6000940,2017,HONDA,ACCORD EX,1827,True
6714851,2010,HONDA,ACCORD EX,1827,True
6714852,2011,HONDA,ACCORD EX,1827,True
6714853,2012,HONDA,ACCORD EX,1827,True
6715540,2011,HONDA,ACCORD EX,1827,True
6715541,2012,HONDA,ACCORD EX,1827,True
6715598,2013,HONDA,ACCORD EX,1827,True
6715599,2014,HONDA,ACCORD EX,1827,True
6715600,2015,HONDA,ACCORD EX,1827,True
6715743,2013,HONDA,ACCORD EX,1827,True
6715744,2014,HONDA,ACCORD EX,1827,True
6715745,2015,HONDA,ACCORD EX,1827,True
6715746,2016,HONDA,ACCORD EX,1827,True
6715747,2017,HONDA,ACCORD EX,1827,True
6715834,2018,HONDA,ACCORD EX,1827,True
7433504,2019,HONDA,ACCORD EX,1827,True
7433505,2020,HONDA,ACCORD EX,1827,True
7433519,2018,HONDA,ACCORD EX,1827,True
7433520,2019,HONDA,ACCORD EX,1827,True
7433521,2020,HONDA,ACCORD EX,1827,True
7516487,2021,HONDA,ACCORD EX,1827,True
6000937,2013,HONDA,ACCORD SPT,1437,True
6000938,2017,HONDA,ACCORD SPT,1437,True
6000942,2014,HONDA,ACCORD SPT,1437,True
6000943,2015,HONDA,ACCORD SPT,1437,True
6715596,2016,HONDA,ACCORD SPT,1437,True
6715831,2018,HONDA,ACCORD SPT,1437,True
6715838,2018,HONDA,ACCORD SPT,1437,True
7433498,2019,HONDA,ACCORD SPT,1437,True
7433499,2020,HONDA,ACCORD SPT,1437,True
7433508,2019,HONDA,ACCORD SPT,1437,True
7433509,2020,HONDA,ACCORD SPT,1437,True
7516481,2021,HONDA,ACCORD SPT,1437,True
7516484,2021,HONDA,ACCORD SPT,1437,True
7561089,2022,HONDA,ACCORD SPT,1437,True
7561092,2022,HONDA,ACCORD SPT,1437,True
7561095,2022,HONDA,ACCORD SPT,1437,True
6000945,2014,HONDA,ACCORD EX-L,1044,True
6000946,2017,HONDA,ACCORD EX-L,1044,True
6714854,2010,HONDA,ACCORD EX-L,1044,True
6714862,2011,HONDA,ACCORD EX-L,1044,True
6714863,2012,HONDA,ACCORD EX-L,1044,True
6715542,2010,HONDA,ACCORD EX-L,1044,True
6715555,2011,HONDA,ACCORD EX-L,1044,True
6715556,2012,HONDA,ACCORD EX-L,1044,True
6715625,2013,HONDA,ACCORD EX-L,1044,True
6715627,2015,HONDA,ACCORD EX-L,1044,True
6715628,2016,HONDA,ACCORD EX-L,1044,True
6715689,2014,HONDA,ACCORD EX-L,1044,True
6715690,2015,HONDA,ACCORD EX-L,1044,True
6715691,2017,HONDA,ACCORD EX-L,1044,True
